incident_id,timestamp,location,species,severity,source,temperature,precipitation,wind_speed,visibility,speed_limit,timestamp_weather,temperature_weather,precipitation_weather,wind_speed_weather,visibility_weather,condition,road_segment_id,speed_limit_road,road_type,curvature,lane_count,surface_type,hour,month,is_night,is_weekend,high_precipitation,high_risk_target
INC001,2026-05-01 21:30:00,Tampere,Deer,high,manual_upload,4.5,2.1,5.2,6500,80,2026-04-01 06:00:00,3.2,1.5,12.4,5.0,rain,R001,80.0,highway,low,2.0,asphalt,21,5,1,0,1,1
INC001,2026-05-01 21:30:00,Tampere,Deer,high,manual_upload,4.5,2.1,5.2,6500,80,2026-04-01 06:00:00,3.2,1.5,12.4,5.0,rain,R005,40.0,urban,low,1.0,asphalt,21,5,1,0,1,1
INC001,2026-05-01 21:30:00,Tampere,Deer,high,manual_upload,4.5,2.1,5.2,6500,80,2026-04-01 09:00:00,5.1,0.0,10.1,10.0,cloudy,R001,80.0,highway,low,2.0,asphalt,21,5,1,0,1,1
INC001,2026-05-01 21:30:00,Tampere,Deer,high,manual_upload,4.5,2.1,5.2,6500,80,2026-04-01 09:00:00,5.1,0.0,10.1,10.0,cloudy,R005,40.0,urban,low,1.0,asphalt,21,5,1,0,1,1
INC002,2026-05-01 08:15:00,Helsinki,Hare,low,manual_upload,8.0,0.0,3.1,10000,60,,,,,,,,,,,,,8,5,0,0,0,0
INC003,2026-05-02 22:10:00,Espoo,Fox,medium,manual_upload,6.2,1.4,4.0,7200,70,,,,,,,,,,,,,22,5,1,1,1,0
INC004,2026-05-03 05:45:00,Turku,Deer,high,manual_upload,3.8,3.0,6.5,5000,90,,,,,,,,,,,,,5,5,1,1,1,1
INC005,2026-05-03 14:20:00,Oulu,Bird,low,manual_upload,10.1,0.0,2.0,12000,50,,,,,,,,,,,,,14,5,0,1,0,0
INC006,2026-05-04 20:40:00,Tampere,Moose,high,manual_upload,5.0,2.8,5.8,6000,100,2026-04-01 06:00:00,3.2,1.5,12.4,5.0,rain,R001,80.0,highway,low,2.0,asphalt,20,5,1,0,1,1
INC006,2026-05-04 20:40:00,Tampere,Moose,high,manual_upload,5.0,2.8,5.8,6000,100,2026-04-01 06:00:00,3.2,1.5,12.4,5.0,rain,R005,40.0,urban,low,1.0,asphalt,20,5,1,0,1,1
INC006,2026-05-04 20:40:00,Tampere,Moose,high,manual_upload,5.0,2.8,5.8,6000,100,2026-04-01 09:00:00,5.1,0.0,10.1,10.0,cloudy,R001,80.0,highway,low,2.0,asphalt,20,5,1,0,1,1
INC006,2026-05-04 20:40:00,Tampere,Moose,high,manual_upload,5.0,2.8,5.8,6000,100,2026-04-01 09:00:00,5.1,0.0,10.1,10.0,cloudy,R005,40.0,urban,low,1.0,asphalt,20,5,1,0,1,1
INC007,2026-05-04 11:05:00,Helsinki,Hare,low,manual_upload,9.5,0.2,3.4,11000,60,,,,,,,,,,,,,11,5,0,0,0,0
INC008,2026-05-05 23:55:00,Espoo,Deer,high,manual_upload,4.0,4.1,7.0,4200,80,,,,,,,,,,,,,23,5,1,0,1,1
INC009,2026-05-06 07:25:00,Turku,Fox,medium,manual_upload,7.2,0.7,4.5,8500,70,,,,,,,,,,,,,7,5,0,0,0,0
INC010,2026-05-06 16:10:00,Oulu,Bird,low,manual_upload,11.0,0.0,2.5,13000,50,,,,,,,,,,,,,16,5,0,0,0,0
